LoB,회사명,연,월,기준일,위험지표,자산총계,매출액
ICE2,에스디바이오센서,2017,12,2017-12-31,0,0,0
ICE2,에스디바이오센서,2018,12,2018-12-31,0,0,0
ICE2,에스디바이오센서,2019,12,2019-12-31,0,0,0
ICE2,에스디바이오센서,2020,12,2020-12-31,0,0,0
ICE2,에스디바이오센서,2021,12,2021-12-31,1,2.91462E+12,0
ICE2,에스디바이오센서,2022,9,2022-09-30,3,3.67939E+12,0
ICE2,엔에이치엔,2017,12,2017-12-31,0,0,0
ICE2,엔에이치엔,2018,12,2018-12-31,0,0,0
ICE2,엔에이치엔,2019,12,2019-12-31,1,1.56666E+12,0
ICE2,엔에이치엔,2020,12,2020-12-31,0,1.61222E+12,0
ICE2,엔에이치엔,2021,12,2021-12-31,1,1.9069E+12,0
ICE2,엔에이치엔,2022,9,2022-09-30,1,1.84865E+12,0
ICE2,크래프톤,2017,12,2017-12-31,0,0,0
ICE2,크래프톤,2018,12,2018-12-31,0,0,0
ICE2,크래프톤,2019,12,2019-12-31,0,0,0
ICE2,크래프톤,2020,12,2020-12-31,0,0,0
ICE2,크래프톤,2021,12,2021-12-31,1,5.48105E+12,0
ICE2,크래프톤,2022,9,2022-09-30,1,5.95776E+12,0
ICE3,대덕,2017,12,2017-12-31,0,0,0
ICE3,대덕,2018,12,2018-12-31,0,0,0
ICE3,대덕,2019,12,2019-12-31,0,0,0
ICE3,대덕,2020,12,2020-12-31,0,5.43388E+11,0
ICE3,대덕,2021,12,2021-12-31,3,5.40933E+11,13868572200
ICE3,대덕,2022,9,2022-09-30,1,5.38683E+11,13203273185
ICE3,대덕전자,2017,12,2017-12-31,0,6.07099E+11,5.12147E+11
ICE3,대덕전자,2018,12,2018-12-31,3,1.12235E+12,5.90732E+11
ICE3,대덕전자,2019,12,2019-12-31,1,1.18588E+12,1.06056E+12
ICE3,대덕전자,2020,12,2020-12-31,3,7.9735E+11,6.14383E+11
ICE3,대덕전자,2021,12,2021-12-31,0,9.46516E+11,9.93659E+11
ICE3,대덕전자,2022,9,2022-09-30,1,1.21945E+12,1.01297E+12
ICE3,명신산업,2017,12,2017-12-31,0,0,0
ICE3,명신산업,2018,12,2018-12-31,0,0,0
ICE3,명신산업,2019,12,2019-12-31,0,0,0
ICE3,명신산업,2020,12,2020-12-31,3,2.23494E+11,1.48453E+11
ICE3,명신산업,2021,12,2021-12-31,1,2.25144E+11,1.59989E+11
